institutioncode	publishingorgkey	key	endorsingNodeKey	title	description	language	email	phone	homepage	city	country	postalCode	latitude	longitude	numPublishedDatasets	created	modified	
UFPR	f6e2efc9-42a3-47ea-99c6-3eda8d653cc9	f6e2efc9-42a3-47ea-99c6-3eda8d653cc9	cdc9736d-5ff7-4ece-9959-3c744360cdb3	Universidade Federal do Paraná	A Universidade Federal do Paraná é a mais antiga universidade do Brasil e símbolo de Curitiba. Envolta em uma história de lutas e conquistas desde 1912 a UFPR é referência no ensino superior para o Estado e para o Brasil. Símbolo maior da intelectualidade paranaense, a Universidade demonstra sua importância e excelência através dos cursos de graduação, especialização, mestrado e doutorado, que são norteados pelo princípio da indissociabilidade entre Ensino, Pesquisa e Extensão. A função social da universidade é valorizada justamente através desse tripé, pois todo ensino, pesquisa e atividade de extensão deve devolver a esta comunidade, em forma de conhecimento, tecnologia e cultura, os recursos públicos que a permitem existir enquanto Instituição Federal de Ensino Superior. Além dos campi em Curitiba, a UFPR está presente no interior e no litoral do estado, tendo papel ativo no desenvolvimento sócio-econômico e na qualidade de vida do paranaense, por meio do acesso à educação superior e das atividades desempenhadas pela comunidade acadêmica em prol da sociedade do Paraná e do Brasil.	por			["http://www.ufpr.br/portalufpr/a-universidade-institucional/"]	Curitiba	BR	80.060-000	-25.42726	-49.262	3	2014-12-16T10:25:18.967+0000	2014-12-16T10:25:18.967+0000	
UEG-UNUCET	34565ff7-e07a-49bf-8763-b2b82e87a345	34565ff7-e07a-49bf-8763-b2b82e87a345	cdc9736d-5ff7-4ece-9959-3c744360cdb3	Universidade Estadual de Goiás	A criação da Universidade Estadual de Goiás em 1999, delineou uma nova e promissora realidade no Ensino Superior do estado.  Organizada como uma Universidade multicampi,  com sede em Anápolis, sua estruturação sempre foi uma das políticas para o desenvolvimento do estado de Goiás, garantindo a educação superior pública, com base nos princípios éticos e humanistas, de modo a estimular a justiça social e o pleno exercício da cidadania, comprometidos com a construção de uma sociedade mais justa e igualitária. Dessa forma, a UEG tem como missão “Produzir e socializar o conhecimento científico e o saber, desenvolver a cultura e a formação integral de profissionais e indivíduos capazes de se inserir criticamente na sociedade e promover a transformação da realidade socioeconômica do estado de Goiás e do Brasil�?, comprometida com os campus instalados em todas as microrregiões do estado e contribuindo para o desenvolvimento sustentado de Goiás.	eng			["http://www.ueg.br"]	Anápolis	BR	75132.903			1	2015-05-22T07:55:21.175+0000	2015-05-22T07:55:21.175+0000	
FAST/UAC	65fffa9e-53b3-40cd-9dbb-727c1cb2a431	65fffa9e-53b3-40cd-9dbb-727c1cb2a431	efb9c00e-f802-45dd-8826-a52ec45b89ff	Faculté des Sciences et Techniques (FAST)	La Faculté des Sciences et Techniques de l’Université d’Abomey-Calavi travaille dans divers domaines de la science. Dans ses champs d'investigation, figurent la Botanie et la Zoologie. Ainsi, les chercheurs de cette Faculté font beaucoup de collections d’animaux et végétaux qui peuvent être publiées pour une meilleure gestion des ressources naturelles au Bénin.	eng				Abomey-Calavi	BJ				8	2016-12-02T15:06:36.012+0000	2016-12-02T15:40:06.738+0000	
	0870a77b-587c-4369-a8ed-bc3d347b8e1c	0870a77b-587c-4369-a8ed-bc3d347b8e1c	2c11b821-d22b-4c64-8cd3-c1578173b129	PlutoF	PlutoF platform provides online services to create, manage, analyse, store and publish biology-related databases and projects. PlutoF brings together, into single online workbench, datasets that are usually spread over different solutions and therefore difficult to access or work with. PlutoF system allows to manage most of biology-related data from bacteria to mammals and from simple human observations to High-Throughput Sequence data in one place.	eng	["info@plutof.ut.ee"]	[]	["https://plutof.ut.ee"]		EE				8	2011-02-25T13:16:51.000+0000	2017-10-20T12:46:28.507+0000	
PLOBJ	c3367060-856b-11d9-8486-b8a03c50a862	c3367060-856b-11d9-8486-b8a03c50a862	db5705aa-6a6e-42f1-8942-d77b9f4896ea	National Institute of Genetics, ROIS	http://www.nig.ac.jp/	eng			["http://www.nig.ac.jp/"]	Mishima	JP		35.11887	138.93833	40	2010-05-03T22:02:00.000+0000	2012-05-17T08:40:14.000+0000	
MNHNL	75642970-f855-11dd-8235-b8a03c50a862	75642970-f855-11dd-8235-b8a03c50a862	b0ccbf42-26b3-412e-b38a-339889154d77	Musée national d'histoire naturelle Luxembourg	http://www.mnhn.lu	eng			["http://www.mnhn.lu"]	Luxembourg	LU		49.60971	6.13595	2	2010-05-03T22:02:00.000+0000	2010-05-03T22:02:00.000+0000	
REDIAM-CMA	799acb53-2764-4e89-9792-5fdb6f7d7d29	799acb53-2764-4e89-9792-5fdb6f7d7d29	1f94b3ca-9345-4d65-afe2-4bace93aa0fe	Environmental Information Network of Andalusia (REDIAM), Regional Ministry for the Environment, Regional Government of Andalusia		eng	["informacion@adiman.es"]	["+34967487608"]		Cuenca	ES	16239			1	2013-07-10T08:21:40.000+0000	2013-07-10T08:21:40.000+0000	
JBAG	797b2594-278e-421d-88c1-0925d122d611	797b2594-278e-421d-88c1-0925d122d611	1f94b3ca-9345-4d65-afe2-4bace93aa0fe	Jardín Botánico Atlántico		spa				Gijon	ES	33203	43.5215	-5.61578	4	2013-07-09T15:28:12.000+0000	2015-08-12T14:06:52.714+0000	
UPS	4c415e40-1e21-11de-9e40-a0d6ecebb8bf	4c415e40-1e21-11de-9e40-a0d6ecebb8bf	a0b3be64-6525-4387-ac67-a499950f92e1	GBIF-Sweden	Provider hosted at the Swedish Museum of Natural History, Stockholm.	eng				Stockholm	SE		59.36832	18.05267	31	2010-05-03T22:02:00.000+0000	2010-05-03T22:02:00.000+0000	
UoB-IB	83af6510-a704-11dc-80be-b8a03c50a862	83af6510-a704-11dc-80be-b8a03c50a862	2618bfdf-e194-4911-a241-80db3107bc51	University of Białystok, Institute of Biology	http://www.uwb.edu.pl/	eng			["http://www.uwb.edu.pl/"]	Bialystok	PL		53.12792	23.15885	4	2010-05-03T22:02:00.000+0000	2010-05-03T22:02:00.000+0000	
UMK	6ea466a0-925e-11da-8900-b8a03c50a862	6ea466a0-925e-11da-8900-b8a03c50a862	2618bfdf-e194-4911-a241-80db3107bc51	Nicolaus Copernicus University of Toruń	http://www.biol.uni.torun.pl/	eng			["http://www.biol.uni.torun.pl/"]	Torun	PL		53.01989	18.56451	1	2010-05-03T22:02:00.000+0000	2010-05-03T22:02:00.000+0000	
UJAG-IZ	97a3ce10-3e54-11d9-8439-b8a03c50a862	97a3ce10-3e54-11d9-8439-b8a03c50a862	2618bfdf-e194-4911-a241-80db3107bc51	Jagiellonian University, Institute of Zoology	http://entomus.iz.uj.edu.pl:80/digir/DiGIR.php	eng			["http://entomus.iz.uj.edu.pl:80/digir/DiGIR.php"]	Kraków	PL		50.06161	19.91992	10	2010-05-03T22:02:00.000+0000	2010-05-03T22:02:00.000+0000	
MNHW	218534d0-925e-11da-8900-b8a03c50a862	218534d0-925e-11da-8900-b8a03c50a862	2618bfdf-e194-4911-a241-80db3107bc51	Wrocław University, Museum of Natural History	http://www.muzeum-przyrodnicze.uni.wroc.pl/eng	eng			["http://www.muzeum-przyrodnicze.uni.wroc.pl/eng"]	Wroclaw	PL		51.11683	17.04647	9	2010-05-03T22:02:00.000+0000	2010-05-03T22:02:00.000+0000	
POL030	24c3dc90-822b-11d8-b7ed-b8a03c50a862	24c3dc90-822b-11d8-b7ed-b8a03c50a862	2618bfdf-e194-4911-a241-80db3107bc51	Plant Breeding and Acclimatization Institute (IHAR) - National Research Institute	http://www.ihar.edu.pl	eng			["http://www.ihar.edu.pl"]	Radzików	PL		52.21546	20.64428	3	2010-05-03T22:02:00.000+0000	2013-05-08T14:04:31.000+0000	
SANBI	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	7190b835-4e86-4b6e-85c1-19cc6677c250	South African National Biodiversity Institute	http://www.sabif.ac.za	eng			["http://www.sabif.ac.za"]	Cape Town	ZA		-33.98059	18.44312	41	2010-05-03T22:02:00.000+0000	2010-05-03T22:02:00.000+0000	
CPR	2627e955-93f5-4206-bac5-a1e3bd91ee37	2627e955-93f5-4206-bac5-a1e3bd91ee37	7e865cba-7c46-417b-ade5-97f2cf5b7be0	Corporación Paisajes Rurales	La Corporación Paisajes Rurales es una organización sin ánimo de lucro, liderada por profesionales de amplia experiencia en el diseño y desarrollo de proyectos de conservación, manejo y restauración de paisajes naturales y transformados bajo un enfoque de ecología del paisaje y de desarrollo ambientalmente sustentable.   Nuestro trabajo gira alrededor del diseño y establecimiento de herramientas de manejo del paisaje -HMP-, que son elementos del paisaje rural existente o restaurado para proveer hábitat para las especies o que contribuyen a aumentar la conectividad estructural o funcional en el paisaje. Las HMP son el corazón de la estrategia de planeación del territorio rural y permiten avanzar hacia la recuperación de la integridad ecológica de los paisajes transformados	spa		["57 3182618970"]	["http://www.paisajesrurales.com/"]	Palmira	CO		3.53104	-76.28583	6	2015-03-05T11:05:13.243+0000	2015-03-05T11:05:13.243+0000	
IAC	c47cd3b0-2178-4a4b-87a6-740b482970a9	c47cd3b0-2178-4a4b-87a6-740b482970a9	cdc9736d-5ff7-4ece-9959-3c744360cdb3	Instituto Agronômico (IAC)	O Instituto Agronômico (IAC), de Campinas é instituto de pesquisa da Agência Paulista de Tecnologia dos Agronegócios, da Secretaria de Agricultura e Abastecimento do Estado de São Paulo, e tem sua sede no município de Campinas. Foi fundado em 1887 pelo Imperador D. Pedro II, tendo recebido a denominação de Estação Agronômica de Campinas. Em 1892 passou para a administração do Governo do Estado de São Paulo.  Sua atuação garante a oferta de alimentos à população e matéria-prima à indústria, cooperando para a segurança alimentar e para a competitividade dos produtos nos mercados interno e externo. Seu corpo de servidores conta com 161 pesquisadores científicos e 319 funcionários de apoio. Sua área física de 1.279 hectares de terras abriga a Sede, Centro Experimental Central e 11 Centros de Pesquisa distribuídos entre Campinas, Cordeirópolis, Jundiaí e Ribeirão Preto, ocupados com casas de vegetação, laboratórios, demais infraestrutura adequada aos seus trabalhos.	eng			["http://www.iac.sp.gov.br"]	Campinas	BR	13020-902			1	2015-06-02T10:24:18.316+0000	2015-06-02T10:24:18.316+0000	
Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)	60f97f47-cd0d-4ff5-b0c0-c98495bf430a	60f97f47-cd0d-4ff5-b0c0-c98495bf430a	cdc9736d-5ff7-4ece-9959-3c744360cdb3	Universidade Federal dos Vales do Jequitinhonha e Mucuri	A Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM) é uma instituição de ensino superior, que desenvolve atividades de ensino, pesquisa e extensão, priorizando sempre as comunidades ao seu entorno. Fundada em 1953, atualmente consta com quatro campi (Diamantina, Teófilo Otoni, Janaúba e Unaí), 46 cursos de graduação, 22 cursos de pós graduação. A missão da UFVJM é promover o desenvolvimento científico, econômico e sociocultural, assegurando o ensino de qualidade em diferentes áreas do conhecimento, respeitando a natureza, inspirado nos ideais da democracia, da liberdade e da solidariedade.	por	["hdjf@ufvjm.edu.br"]	["+55 38 3532-1218"]	["http://www.ufvjm.edu.br/"]	Alto da Jacuba	BR	39100-000	-18.20173	-43.5722	1	2015-05-11T11:39:29.975+0000	2015-05-11T11:39:29.975+0000	
UNIVASF	6bfada01-036d-455a-b332-081dbe226a05	6bfada01-036d-455a-b332-081dbe226a05	cdc9736d-5ff7-4ece-9959-3c744360cdb3	Universidade Federal do Vale do São Francisco	A UNIVASF é uma instituição de ensino superior vinculada ao Ministério da Educação, criada com o nome de Fundação Universidade Federal do Vale do São Francisco. Sua criação foi legitimada pela Lei nº 10.473 de 27 de junho de 2002 que a conferiu uma natureza fundacional, com sede na cidade de Petrolina, Estado de Pernambuco. Tem como missão ministrar ensino superior, desenvolver pesquisas nas diversas áreas do conhecimento e promover a extensão universitária.	eng			["http://www.univasf.edu.br"]	Petrolina	BR	56300-990			1	2015-06-02T10:02:19.343+0000	2015-06-02T10:02:19.343+0000	
UNIVILLE	efe6e324-c6aa-4ed0-9693-80e7ba5bab12	efe6e324-c6aa-4ed0-9693-80e7ba5bab12	cdc9736d-5ff7-4ece-9959-3c744360cdb3	Universidade da Região de Joinville	A Fundação Educacional da Região de Joinville foi responsável pela introdução do Ensino Superior na Região em 1965 com o curso de Ciências Econômicas, em 1996 insituiu-se a Universidade da Região de Joinville - Univille,  atualmente conta com 9.000 alunos distribuídos nos 34 cursos de graduação, 5 Programas de pós-graduação Stricto sensu sendo que Programa em Saúde e Meio Ambiente conta com os cursos de Mestrado e Doutorado. Além disso, há os Colégios nos dois campi;  um Fundo de Apoio à Pesquisa Institucional que permite desenvolver projetos em todas as áreas do conhecimento e propicia bolsas de Iniciação científica e para mestrado e doutorado e um Fundo de Apoio à Extensão que também prevê apoio a projetos e programas e bolsas de extensão.	por	["reitoria@univille.br"]	["+55 47 3461-9072"]		Joinville	BR	89219-710	-26.25189	-48.8559	2	2015-05-18T13:15:32.533+0000	2015-05-18T13:15:32.533+0000	
UESB	3a2b60a6-5c60-413a-8bff-a9740e774c09	3a2b60a6-5c60-413a-8bff-a9740e774c09	cdc9736d-5ff7-4ece-9959-3c744360cdb3	Universidade Estadual do Sudoeste da Bahia	A Universidade Estadual do Sudoeste da Bahia – UESB, instituída pela lei Delegada no 12, de 30 de dezembro de 1980, foi autorizada pelo Decreto Federal no 94.250 de 22 de abril de 1987 e credenciada através do Decreto Estadual no 7.344 de 27 de maio de 1998. sua estrutura administrativa foi alterada pela Lei 7.176 de 10 de setembro de 1997 e Decreto no 7.329 de 7 de maio de 1998, que aprova o novo regulamento da Universidade. É uma Instituição Autárquica, de Direito Público e Regime Especial de Ensino, Pesquisa e Extensão, de caráter multicampi, com sede administrativa e foro na cidade de Vitória da Conquista, Estado da Bahia, vinculada à Secretaria da Educação do Estado da Bahia, com autonomia didático-científica, administrativa, financeira, patrimonial e disciplinar, conforme a Constituição Federal de 1988 e Lei de Diretrizes e Bases da Educação Nacional no 9.394/96.  A Universidade Estadual do Sudoeste da Bahia (UESB) é uma instituição multicampicom três unidades localizadas nos municípios de Vitória da Conquista, Jequié e Itapetinga todos situados na Região Sudoeste da Bahia. O Decreto Estadual n.º 7.329, de 07.05.1998, publicado no Diário Oficial em 08.05.1998, credenciando a UESB, aprovou o Regulamento da Universidade que definiu a sua atual estrutura administrativa.	por		["+55 73 35289659"]	["http://www.uesb.br/"]	Jequié	BR	45200-000	-13.87264	-40.07092	1	2015-05-18T12:40:26.149+0000	2015-05-18T12:40:26.149+0000	
Universidade do Estado de Mato Grosso (UNEMAT)	e7132376-4a7e-458a-be08-946850a2beac	e7132376-4a7e-458a-be08-946850a2beac	cdc9736d-5ff7-4ece-9959-3c744360cdb3	Universidade do Estado de Mato Grosso	A Unemat possui 13 campi, 10 núcleos pedagógicos e 18 polos educacionais de Ensino a Distância. Tem sua Sede Administrativa na Cidade de Cáceres - MT. Cerca de 21 mil acadêmicos são atendidos em 60 cursos presenciais. Atualmente a instituição conta com dois doutorados institucionais, dois doutorados interinstitucionais (dinter), três doutorados em rede, oito mestrados institucionais, um mestrado interinstitucional (minter), três mestrados profissionais e 18 turmas de pós-graduação lato sensu a distância ofertadas em seis polos. A Unemat desenvolve ações pioneiras para atender às demandas específicas do Estado. Por meio da Diretoria de Educação Indígena a Unemat passou a ofertar a partir de 2001 cursos de licenciaturas específicos e diferenciados para mais de 30 etnias.	eng			["http://www.unemat.br"]	Cáceres	BR	78200-000			3	2015-05-28T11:45:49.421+0000	2015-05-28T11:45:49.421+0000	
UNITINS	605d693a-f335-44fb-b6cf-3ac49842358e	605d693a-f335-44fb-b6cf-3ac49842358e	cdc9736d-5ff7-4ece-9959-3c744360cdb3	Fundação Universidade do Tocantins	A Fundação Universidade do Tocantins (UNITINS) é uma instituição pública de ensino superior e tem como missão produzir, difundir e socializar cooperativamente conhecimentos científico, tecnológico e cultural para contribuir com o desenvolvimento e o progresso das múltiplas comunidades presentes nos espaços tocantinense e da Amazônia Legal. A UNITINS empreende esforços que visam não somente à integração entre os cursos de graduação, projetos de pesquisa, programas de pós-graduação e as ações de extensão, mas também o fortalecimento das políticas de desenvolvimento socioeconômico, cultural, agrário e ambiental, bem como a investigação de temáticas e áreas de conhecimento que norteiam estudos da realidade local, regional e nacional, com a preocupação central de atender às demandas da sociedade. No âmbito da investigação científica UNITINS se destaca no campo da pesquisa agropecuária, em especial na busca do desenvolvimento de linhagens de arroz, soja e feijão adaptados às condições edafoclimáticas regionais, buscando promover o fortalecimento do setor agropecuário, por meio da geração e transferência de tecnologias. A UNITINS atua também em pesquisa na área de meio ambiente, como foco na identificação, caracterização da biodiversidade com foco na sua conservação e o uso sustentável desses recursos naturais.	eng			["http://www.unitins.br"]	Palmas	BR	77020-122			1	2015-06-02T08:18:38.276+0000	2015-06-02T08:18:38.276+0000	
IPA	202d5f34-ff58-4ad7-964f-c947ce18078e	202d5f34-ff58-4ad7-964f-c947ce18078e	cdc9736d-5ff7-4ece-9959-3c744360cdb3	Instituto Agronômico de Pernambuco	O IPA foi criado em 1935 sob a denominação de Instituto de Pesquisas Agronômicas, órgão da administração direta do Estado de Pernambuco, com sede e laboratórios na cidade do Recife. Em 1960, foi transformado em autarquia, permanecendo com a mesma denominação, expandindo suas atividades para o interior por meio de uma rede de estações experimentais que lhe foi incorporada. Em 1975, segundo a Lei 6959, foi novamente transformado, recebendo a denominação de Empresa Pernambucana de Pesquisa Agropecuária, mantendo a sigla IPA, já consagrada no seu universo de atuação. Em conseqüência da reforma administrativa do Governo do Estado, cujo marco é Lei Complementar 049 de 31/01/2003, o IPA ampliou sua competência de entidade voltada para pesquisa e desenvolvimento e produção de bens e serviços agropecuários incorporando as atividades de assistência técnica, extensão rural e de infra-estrutura hídrica. O IPA, nos dias de hoje, integra o Sistema Nacional de Pesquisa Agropecuária (SNPA), coordenado pela EMBRAPA. MISSÃO Gerar e adaptar tecnologia, prestar assistência técnica e extensão rural prioritariamente aos agricultores de base familiar, realizar obras de infra-estrutura hídrica e disponibilizar bens e serviços para o desenvolvimento sustentável do agronegócio. OBJETIVOS Elevação das condições de vida da sociedade pernambucana mediante o aproveitamento racional e equilibrado das potencialidades naturais do estado, procurando garantir a continuidade na renovação dos recursos renováveis e buscando assegurar a perenidade do fundo de fertilidade e o equilíbrio dos ecossistemas. O IPA procura atingir, entre outros, os seguintes objetivos: • elevar a produção e a eficiência do setor agropecuário, sem perder de vista as questões da sustentabilidade do desenvolvimento; • adequar os produtos da agropecuária à qualidade e às características demandadas pelos consumidores finais; • gerar e difundir tecnologias para produtos e sistemas agropecuários e para processos agroindustriais, com vistas ao mercado; • adaptar à realidade de Pernambuco tecnologias geradas em outros estados, regiões ou países; • gerar, promover e exercitar a transferência de informações científicas e tecnológicas em sua esfera de ação; • atuar em áreas de tecnologia de ponta, visando a promover saltos qualitativos na pesquisa • desenvolver atividades de infra-estrutura hídrica para o meio rural, por meio da construção, manutenção de recuperação de barragens e poços.	por	["ipa@ipa.br"]	["+55 81 3184-7200"]	["http://www.ipa.br/novo/"]	Recife	BR	50761-000			1	2015-05-11T12:03:00.940+0000	2015-05-11T12:03:00.940+0000	
UFRGS	04481953-6112-489f-bb8d-9703d787e3ea	04481953-6112-489f-bb8d-9703d787e3ea	cdc9736d-5ff7-4ece-9959-3c744360cdb3	Universidade Federal do Rio Grande do Sul	A Universidade Federal do Rio Grande do Sul, com sede em Porto Alegre , capital do Estado do Rio Grande do Sul, é uma instituição centenária, reconhecida nacional e internacionalmente. Ministra cursos em todas as áreas do conhecimento e em todos os níveis, desde o Ensino Fundamental até a Pós-Graduação. A UFRGS, como instituição pública a serviço da sociedade e comprometida com o futuro e com a consciência crítica, respeita as diferenças, prioriza a experimentação e, principalmente, reafirma seu compromisso com a educação e a produção do conhecimento, inspirada nos ideais de liberdade e solidariedade.  The Universidade Federal do Rio Grande do Sul, UFRGS (Federal University of Rio Grande do Sul) is a century-old educational institution nationally and internationally recognized. It is centered in Porto Alegre – the capital city of the State of Rio Grande do Sul – and it offers academic programs from all different fields of knowledge, for all stages of education, ranging from elementary to graduate school. As a public institution dedicated to serving the community and to building its future with a critical consciousness, UFRGS respects diversity, prioritizes innovation and, above all, reaffirms its commitment to education and spreading of knowledge, inspired by ideals of freedom and solidarity.	eng			["http://www.ufrgs.br"]	Porto Alegre	BR	91501-970			1	2015-06-11T07:47:30.200+0000	2015-06-11T07:48:07.329+0000	
UNAL	eac88d99-9f6c-4031-8fc4-8088f0e0dfe7	eac88d99-9f6c-4031-8fc4-8088f0e0dfe7	7e865cba-7c46-417b-ade5-97f2cf5b7be0	Universidad Nacional de Colombia	La Universidad Nacional de Colombia es un ente universitario autónomo vinculado al Ministerio de Educación Nacional, con régimen especial y definida como una Universidad Nacional, Pública y del Estado. Como Universidad de la nación fomenta el acceso con equidad al sistema educativo colombiano, provee la mayor oferta de programas académicos, forma profesionales competentes y socialmente responsables. Contribuye a la elaboración y resignificación del proyecto de nación, estudia y enriquece el patrimonio cultural, natural y ambiental del país. Como tal lo asesora en los órdenes científico, tecnológico, cultural y artístico con autonomía académica e investigativa.	spa			["http://www.unal.edu.co"]	Bogotá D.C.	CO				16	2013-05-28T14:17:40.000+0000	2013-06-06T07:43:14.000+0000	
Uniamazonia	256035fe-75ff-4a7c-94bc-86af590c9050	256035fe-75ff-4a7c-94bc-86af590c9050	7e865cba-7c46-417b-ade5-97f2cf5b7be0	Universidad de la Amazonia	La Universidad de la Amazonia es una institución estatal de educación superior del orden nacional, creada para contribuir especialmente en el desarrollo de la región amazónica. Busca ser líder en la construcción, apropiación, adecuación, implementación y difusión de procesos académicos, científicos, investigativos y de proyección a la comunidad; preferencialmente encaminados a la búsqueda del desarrollo humano sostenible de la Amazonia colombiana.	spa		["57 3133769441"]	["www.uniamazonia.edu.co"]	Florencia	CO		1.60594	-75.60744	3	2015-06-22T08:31:47.473+0000	2015-06-22T08:31:47.473+0000	
K	061b4f20-f241-11da-a328-b8a03c50a862	061b4f20-f241-11da-a328-b8a03c50a862	d897a5b9-35ee-4232-94bd-b0bcaac003c2	Royal Botanic Gardens, Kew	http://www.kew.org	eng			["http://www.kew.org"]	Richmond	GB		51.45194	-0.3159	2	2010-05-03T22:02:00.000+0000	2010-05-03T22:02:00.000+0000	
AD	1deb09e1-ded6-469a-a46e-f6329cb03b6a	1deb09e1-ded6-469a-a46e-f6329cb03b6a	4a6f1b71-969e-4fc5-a693-282b05e1220c	Australia's Virtual Herbarium	The Council of Heads of Australasian Herbaria (CHAH) comprises those administratively responsible for the major Australian Herbaria with the aim of promoting all matters of interest to herbaria in Australia and to increase cooperation and understanding between herbaria.	eng	[null]	[null]	["http://avh.rbg.vic.gov.au"]		AU				1	2017-09-20T14:53:15.435+0000	2017-09-21T20:19:04.192+0000	
Natural Resources Wales	ee45975b-3d89-42b5-ac7a-c03f47b6dcb4	ee45975b-3d89-42b5-ac7a-c03f47b6dcb4	d897a5b9-35ee-4232-94bd-b0bcaac003c2	Natural Resources Wales	Proud to be leading the way to a better future for Wales by managing the environment and natural resources sustainably. The organisation was formed in April 2013.	eng	["NBNGatewayAdministrator@naturalresourceswales.gov.uk"]	[null]	["https://naturalresources.wales/splash?orig=/"]	Bangor Gwynedd	GB	LL57 2DW	53.25098	-4.14307	33	2017-02-09T14:58:23.848+0000	2017-11-16T08:12:41.782+0000	
North Ayrshire Countryside Ranger Service	6020041c-686c-46dc-9fbe-ccdcad7d7ce7	6020041c-686c-46dc-9fbe-ccdcad7d7ce7	d897a5b9-35ee-4232-94bd-b0bcaac003c2	North Ayrshire Countryside Ranger Service		eng	[null]	[null]	["http://www.north-ayrshire.gov.uk/resident/leisure-parks-and-events/eglinton-park/RangerService/CountrysideRanger.aspx"]	Irvine	GB	KA12 8TA	55.64032	-4.66592	1	2017-05-09T14:09:14.502+0000	2017-11-16T08:12:06.329+0000	
Nature Locator	91795085-5ea1-4be1-a55d-eb721374d140	91795085-5ea1-4be1-a55d-eb721374d140	d897a5b9-35ee-4232-94bd-b0bcaac003c2	Nature Locator		eng	["info@natural-apptitude.co.uk"]	[null]	["http://naturelocator.org/index.html"]		GB				3	2017-05-24T10:10:58.949+0000	2017-11-16T08:10:18.105+0000	
DBG	8908d1f7-17d0-442a-a1bb-86da0bc27709	8908d1f7-17d0-442a-a1bb-86da0bc27709	8618c64a-93e0-4300-b546-7249e5148ed2	Sam Mitchel Herbarium of Fungi (Denver Botanic Gardens)	The Sam Mitchel Herbarium of Fungi (DBG) is the largest and best curated mycological collection of the Southern Rocky Mountain Region located at the Denver Botanical Gardens.	eng			["http://www.botanicgardens.org/science/plant-fungi/sam-mitchel-herbarium-fungi"]	Denver	US	CO 80206	39.73206	-104.95982	1	2014-11-04T13:31:55.173+0000	2014-11-06T08:05:44.545+0000	
DBG	36488347-eceb-40ed-b687-406f3601d8cb	36488347-eceb-40ed-b687-406f3601d8cb	8618c64a-93e0-4300-b546-7249e5148ed2	Kathryn Kalmbach Herbarium (Denver Botanic Gardens)	The Kathryn Kalmbach Herbarium (KHD), a collection of over 49,000 vascular plant specimens, is a regional herbarium located at the Denver Botanical Gardens.	eng			["http://www.botanicgardens.org/science/plant-fungi/kathryn-kalmbach-herbarium"]	Denver	US	CO 80206	39.73235	-104.95996	2	2014-11-04T14:12:40.638+0000	2014-11-06T08:05:23.031+0000	
NINA	46fec380-8e1d-11dd-8679-b8a03c50a862	46fec380-8e1d-11dd-8679-b8a03c50a862	4f829580-180d-46a9-9c87-ed8ec959b545	Norwegian Institute for Nature Research	http://www.nina.no	eng			["http://www.nina.no"]	Trondheim	NO		63.42335	10.46559	38	2010-05-03T22:02:00.000+0000	2010-05-03T22:02:00.000+0000	
Universidade Federal de Juiz de Fora (UFJF)	303e2432-448c-41ec-be2b-020a25c7adc4	303e2432-448c-41ec-be2b-020a25c7adc4	cdc9736d-5ff7-4ece-9959-3c744360cdb3	Universidade Federal de Juiz de Fora		por	["faleconosco@ufjf.edu.br"]	["+55 32 2102-3911 / 2102-3989 / 2102-3979 / 2102-3978"]	["http://www.ufjf.br"]	Juiz de Fora	BR		-1.7745	-43.37125	1	2015-05-07T14:04:23.940+0000	2015-05-07T14:04:23.940+0000	
NBDC	d2b97690-bfd6-11de-b279-d52977ace833	d2b97690-bfd6-11de-b279-d52977ace833	422b00b2-6c94-4bb6-976b-c359916efdb8	National Biodiversity Data Centre	A national organisation for the collection, collation, management, analysis and dissemination of data on Ireland’s biological diversity.	eng			["http://www.biodiversityireland.ie/"]		IE				57	2010-05-03T22:02:00.000+0000	2013-08-15T07:38:19.000+0000	
UCR	fb702600-a84e-11de-978d-b8a03c50a862	fb702600-a84e-11de-978d-b8a03c50a862	8618c64a-93e0-4300-b546-7249e5148ed2	Consortium of California Herbaria	Consortium of California Herbaria	eng					US				1	2010-05-03T22:02:00.000+0000	2010-05-03T22:02:00.000+0000	
NMNL	16fd28c4-e4be-40e5-a551-139e573cfe68	16fd28c4-e4be-40e5-a551-139e573cfe68	0909d601-bda2-42df-9e63-a6d51847ebce	Nijmegen Natural History Museum	The Natural history museum Nijmegen was founded in 1980 and hosts over 61.000 objects. An import part of the collection are old educational school collections, sometimes including exotic objects. In the last decennia the museum is expanding its collection with material from the region.	eng	["info@natuurmuseum.nl  "]	["31-(0)24-3297070"]	["http://www.natuurmuseum.nl/"]	Nijmegen	NL	NL-6511 ST			2	2012-03-29T07:19:11.000+0000	2015-02-23T11:33:02.303+0000	
